                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.90503,                0.47494,                 1.0494,                0.98589,                0.95676,                0.97848,                0.74427,                0.93989,                0.50372,                 1.1895,              0.0015802,              0.0015802,              0.0015802
                     56,                0.87329,                0.47174,                 1.0362,                0.98473,                0.95676,                0.97726,                0.73087,                0.96771,                0.52747,                 1.1885,              0.0015723,              0.0015723,              0.0015723
                     57,                0.88179,                0.46924,                 1.0505,                 0.9887,                0.94591,                0.96724,                0.70957,                0.97587,                0.53815,                 1.1977,              0.0015644,              0.0015644,              0.0015644
                     58,                 0.9087,                0.51502,                 1.0716,                0.98799,                0.95676,                0.97139,                 0.7238,                0.96668,                 0.5043,                 1.2073,              0.0015565,              0.0015565,              0.0015565
                     59,                0.92444,                0.49101,                 1.0697,                 0.9834,                0.96078,                0.97563,                0.73197,                0.99376,                0.50084,                 1.2272,              0.0015486,              0.0015486,              0.0015486
                     60,                0.90804,                0.47279,                 1.0701,                0.98752,                0.95676,                0.97592,                 0.7143,                 1.0217,                0.54247,                 1.2283,              0.0015406,              0.0015406,              0.0015406
                     61,                0.89184,                0.47724,                 1.0569,                0.98655,                0.95676,                0.98266,                0.73052,                0.93793,                0.47792,                 1.1868,              0.0015327,              0.0015327,              0.0015327
                     62,                0.89005,                0.48368,                 1.0385,                 0.9888,                0.95445,                0.97804,                0.73012,                0.95903,                0.49572,                  1.202,              0.0015248,              0.0015248,              0.0015248
                     63,                0.85009,                0.45447,                 1.0354,                0.97811,                0.96593,                0.97777,                0.73301,                0.96293,                 0.4769,                 1.1916,              0.0015169,              0.0015169,              0.0015169
                     64,                0.86224,                0.46742,                 1.0363,                0.98328,                0.95383,                 0.9702,                0.69938,                  1.021,                0.51716,                 1.2355,               0.001509,               0.001509,               0.001509
                     65,                 0.8869,                0.47374,                 1.0543,                0.96695,                0.94875,                0.97079,                0.72892,                0.95145,                0.52599,                 1.1895,               0.001501,               0.001501,               0.001501
                     66,                0.88348,                0.47761,                  1.054,                0.96698,                0.94987,                0.97039,                0.73969,                0.92892,                0.47851,                 1.1802,              0.0014931,              0.0014931,              0.0014931
                     67,                0.90007,                0.46852,                 1.0747,                0.98339,                0.95996,                0.97647,                0.73386,                0.94812,                0.47432,                 1.2012,              0.0014852,              0.0014852,              0.0014852
                     68,                0.86425,                0.45146,                  1.047,                0.96107,                0.95676,                0.97721,                0.73703,                 0.9563,                 0.5167,                 1.1958,              0.0014773,              0.0014773,              0.0014773
                     69,                0.85237,                0.47876,                  1.045,                 0.9821,                0.95676,                0.97663,                0.73189,                0.94179,                0.46804,                 1.2144,              0.0014694,              0.0014694,              0.0014694
                     70,                0.85545,                0.44676,                 1.0319,                0.97701,                0.95135,                 0.9741,                0.73727,                0.97262,                0.52692,                 1.2251,              0.0014614,              0.0014614,              0.0014614
                     71,                0.86614,                0.45858,                 1.0527,                0.98278,                0.96216,                0.97879,                0.74861,                0.95876,                0.49339,                  1.207,              0.0014535,              0.0014535,              0.0014535
                     72,                0.86026,                0.44393,                 1.0399,                0.97547,                0.96216,                0.98311,                0.75136,                 0.9407,                0.45174,                 1.1904,              0.0014456,              0.0014456,              0.0014456
                     73,                0.84653,                0.43982,                 1.0299,                0.98888,                0.96102,                0.97964,                0.74949,                0.94991,                0.47245,                 1.1979,              0.0014377,              0.0014377,              0.0014377
                     74,                0.87988,                 0.4645,                 1.0512,                0.97279,                0.96611,                0.98298,                0.74719,                0.93888,                0.46628,                 1.1903,              0.0014298,              0.0014298,              0.0014298
                     75,                0.84399,                0.44704,                 1.0265,                 0.9834,                0.96053,                0.97579,                 0.7277,                0.94215,                 0.4691,                 1.2015,              0.0014218,              0.0014218,              0.0014218
